"X","Unnamed..0","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2","is_neurotransmitter","ligand.symbol","ligand.family","ligand.location","ligand.keyword","ligand.secreted_type","ligand.transmembrane","receptor.symbol","receptor.family","receptor.location","receptor.keyword","receptor.surfaceome_main","receptor.surfaceome_sub","receptor.adhesome","receptor.secreted_type","receptor.transmembrane","version"
819,"TNFSF11_TNFRSF11A","TNFSF11_TNFRSF11A","RANKL","TNFSF11","TNFRSF11A","","","","","KEGG: hsa04060","Secreted Signaling","TNFSF11 - TNFRSF11A","False","TNFSF11","Tumor necrosis factor","[Tumor necrosis factor ligand superfamily member 11, Cytoplasm, Cell membrane, Soluble form]: Secreted","Membrane, Secreted, Differentiation, Transmembrane, Signal-anchor, Osteopetrosis, Receptor, Cytoplasm, Alternative splicing, Cytokine, Glycoprotein, Disease variant, Developmental protein, Reference proteome, Cell membrane, Transmembrane helix, 3D-structure","cytokine","True","TNFRSF11A","","Cell membrane","Membrane, Disulfide bond, Transmembrane, Osteopetrosis, Receptor, Alternative splicing, Deafness, Glycoprotein, Disease variant, Signal, Sodium, Reference proteome, Metal-binding, Transmembrane helix, Phosphoprotein, Cell membrane, 3D-structure, Repeat","Receptors","Other_receptors;TNFNGF","","","True","CellChatDB v1"
820,"TNFSF11_TNFRSF11B","TNFSF11_TNFRSF11B","RANKL","TNFSF11","TNFRSF11B","","","","","KEGG: hsa04060","Secreted Signaling","TNFSF11 - TNFRSF11B","False","TNFSF11","Tumor necrosis factor","[Tumor necrosis factor ligand superfamily member 11, Cytoplasm, Cell membrane, Soluble form]: Secreted","Membrane, Secreted, Differentiation, Transmembrane, Signal-anchor, Osteopetrosis, Receptor, Cytoplasm, Alternative splicing, Cytokine, Glycoprotein, Disease variant, Developmental protein, Reference proteome, Cell membrane, Transmembrane helix, 3D-structure","cytokine","True","TNFRSF11B","","Secreted","Disease variant, Signal, Reference proteome, Disulfide bond, Secreted, Apoptosis, Direct protein sequencing, Receptor, Repeat, 3D-structure, Glycoprotein","","","","secreted","False","CellChatDB v1"
3239,"TGFB1_TGFBR2_ACVRL1","TGFB1_TGFBR2_ACVRL1","TGFb","TGFB1","TGFBR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 20587022","Secreted Signaling","TGFB1 - (TGFBR2+ACVRL1)","False","TGFB1","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Growth factor, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Glycoprotein","growth factor","False","ACVRL1, TGFBR2","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Cell surface, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Tight junction, Isopeptide bond, Cell junction, Ubl conjugation","Receptors","Act.TGFB;Kinase","","","True","CellChatDB v1"
3240,"JAG1_NOTCH4","JAG1_NOTCH4","NOTCH","JAG1","NOTCH4","","","","","PMID: 32593969","Secreted Signaling","JAG1 - NOTCH4","False","JAG1","Jagged","Extracellular matrix, Secreted, Extracellular space","","","","NOTCH4","","","","Receptors","NOTCH4","","","True","CellChatDB v1"
3241,"IGFBP7_CD93","IGFBP7_CD93","IGFBP","IGFBP7","CD93","","","","","PMID: 37568781; 37333140","Secreted Signaling","IGFBP7 - CD93","False","IGFBP7","Insulin like growth factor binding protein family","Extracellular matrix, Secreted, Extracellular space","","","","CD93","","","","Receptors","CD93","","","True","CellChatDB v1"
3242,"IL6_IL6R","IL6_IL6R","IL6","IL6","IL6R","","","","","PMID: 12829785","Secreted Signaling","IL6 - IL6R","False","IL6","","","","","","IL6R","","","","Receptors","IL6R","","","True","CellChatDB v1"
3243,"IL1B_IL1R1","IL1B_IL1R1","IL1B","IL1B","IL1R1","","","","","PMID: 9062193","Secreted Signaling","IL1B - IL1R1","False","IL1B","","","","","","IL1R1","","","","Receptors","IL1R1","","","True","CellChatDB custom"
3244,"IL11_IL11RA","IL11_IL11RA","IL11","IL11","IL11RA","","","","","PMID: 10948192","Secreted Signaling","IL11 - IL11RA","False","IL11","","","","","","IL11RA","","","","Receptors","IL11RA","","","True","CellChatDB custom"
3245,"IL6_IL6ST","IL6_IL6ST","IL6","IL6","IL6ST","","","","","PMID: 14557255","Secreted Signaling","IL6 - IL6ST","False","IL6","","","","","","IL6ST","","","","Receptors","IL6ST","","","True","CellChatDB custom"
3246,"IL11_IL6ST","IL11_IL6ST","IL11","IL11","IL6ST","","","","","PMID: 10948192","Secreted Signaling","IL11 - IL6ST","False","IL11","","","","","","IL6ST","","","","Receptors","IL6ST","","","True","CellChatDB custom"
3247,"LIF_IL6ST","LIF_IL6ST","LIF","LIF","IL6ST","","","","","PMID: 9716487","Secreted Signaling","LIF - IL6ST","False","LIF","","","","","","IL6ST","","","","Receptors","IL6ST","","","True","CellChatDB custom"
