"X","Unnamed..0","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2","is_neurotransmitter","ligand.symbol","ligand.family","ligand.location","ligand.keyword","ligand.secreted_type","ligand.transmembrane","receptor.symbol","receptor.family","receptor.location","receptor.keyword","receptor.surfaceome_main","receptor.surfaceome_sub","receptor.adhesome","receptor.secreted_type","receptor.transmembrane","version"
0,"TGFB1_TGFBR1_TGFBR2","TGFB1_TGFBR1_TGFBR2","TGFb","TGFB1","TGFbR1_R2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","KEGG: hsa04350","Secreted Signaling","TGFB1 - (TGFBR1+TGFBR2)","False","TGFB1","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Growth factor, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Glycoprotein","growth factor","False","TGFBR2, TGFBR1","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Cell surface, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Tight junction, Isopeptide bond, Cell junction, Ubl conjugation","Receptors","Act.TGFB;Kinase","","","True","CellChatDB v1"
1,"TGFB2_TGFBR1_TGFBR2","TGFB2_TGFBR1_TGFBR2","TGFb","TGFB2","TGFbR1_R2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","KEGG: hsa04350","Secreted Signaling","TGFB2 - (TGFBR1+TGFBR2)","False","TGFB2","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Chromosomal rearrangement, Signal, Reference proteome, Disulfide bond, Secreted, Extracellular matrix, Mitogen, Growth factor, Direct protein sequencing, 3D-structure, Cleavage on pair of basic residues, Alternative splicing, Aortic aneurysm, Glycoprotein","growth factor","False","TGFBR2, TGFBR1","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Cell surface, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Tight junction, Isopeptide bond, Cell junction, Ubl conjugation","Receptors","Act.TGFB;Kinase","","","True","CellChatDB v1"
2,"TGFB3_TGFBR1_TGFBR2","TGFB3_TGFBR1_TGFBR2","TGFb","TGFB3","TGFbR1_R2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","KEGG: hsa04350","Secreted Signaling","TGFB3 - (TGFBR1+TGFBR2)","False","TGFB3","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Cardiomyopathy, Growth factor, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Methylation, Glycoprotein","cytokine;growth factor","True","TGFBR2, TGFBR1","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Cell surface, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Tight junction, Isopeptide bond, Cell junction, Ubl conjugation","Receptors","Act.TGFB;Kinase","","","True","CellChatDB v1"
3,"TGFB1_ACVR1B_TGFBR2","TGFB1_ACVR1B_TGFBR2","TGFb","TGFB1","ACVR1B_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","TGFB1 - (ACVR1B+TGFBR2)","False","TGFB1","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Growth factor, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Glycoprotein","growth factor","False","TGFBR2, ACVR1B","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation","Receptors","Act.TGFB;Kinase","","","True","CellChatDB v1"
4,"TGFB1_ACVR1C_TGFBR2","TGFB1_ACVR1C_TGFBR2","TGFb","TGFB1","ACVR1C_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","TGFB1 - (ACVR1C+TGFBR2)","False","TGFB1","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Growth factor, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Glycoprotein","growth factor","False","TGFBR2, ACVR1C","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Membrane","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","","True","CellChatDB v1"
5,"TGFB2_ACVR1B_TGFBR2","TGFB2_ACVR1B_TGFBR2","TGFb","TGFB2","ACVR1B_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","TGFB2 - (ACVR1B+TGFBR2)","False","TGFB2","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Chromosomal rearrangement, Signal, Reference proteome, Disulfide bond, Secreted, Extracellular matrix, Mitogen, Growth factor, Direct protein sequencing, 3D-structure, Cleavage on pair of basic residues, Alternative splicing, Aortic aneurysm, Glycoprotein","growth factor","False","TGFBR2, ACVR1B","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation","Receptors","Act.TGFB;Kinase","","","True","CellChatDB v1"
6,"TGFB2_ACVR1C_TGFBR2","TGFB2_ACVR1C_TGFBR2","TGFb","TGFB2","ACVR1C_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","TGFB2 - (ACVR1C+TGFBR2)","False","TGFB2","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Chromosomal rearrangement, Signal, Reference proteome, Disulfide bond, Secreted, Extracellular matrix, Mitogen, Growth factor, Direct protein sequencing, 3D-structure, Cleavage on pair of basic residues, Alternative splicing, Aortic aneurysm, Glycoprotein","growth factor","False","TGFBR2, ACVR1C","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Membrane","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","","True","CellChatDB v1"
7,"TGFB3_ACVR1B_TGFBR2","TGFB3_ACVR1B_TGFBR2","TGFb","TGFB3","ACVR1B_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","TGFB3 - (ACVR1B+TGFBR2)","False","TGFB3","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Cardiomyopathy, Growth factor, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Methylation, Glycoprotein","cytokine;growth factor","True","TGFBR2, ACVR1B","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Ubl conjugation","Receptors","Act.TGFB;Kinase","","","True","CellChatDB v1"
8,"TGFB3_ACVR1C_TGFBR2","TGFB3_ACVR1C_TGFBR2","TGFb","TGFB3","ACVR1C_TGFbR2","TGFb agonist","TGFb antagonist","","TGFb inhibition receptor","PMID: 27449815","Secreted Signaling","TGFB3 - (ACVR1C+TGFBR2)","False","TGFB3","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Cardiomyopathy, Growth factor, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Methylation, Glycoprotein","cytokine;growth factor","True","TGFBR2, ACVR1C","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Membrane","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium","Receptors","Act.TGFB;Kinase","","","True","CellChatDB v1"
9,"TGFB1_ACVR1_TGFBR1","TGFB1_ACVR1_TGFBR1","TGFb","TGFB1","ACVR1_TGFbR","","","","","PMID: 29376829","Secreted Signaling","TGFB1 - (ACVR1+TGFBR1)","False","TGFB1","TGF-beta","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Extracellular matrix, Disulfide bond, Secreted, Mitogen, Growth factor, Direct protein sequencing, Cleavage on pair of basic residues, 3D-structure, Glycoprotein","growth factor","False","TGFBR2, ACVR1, TGFBR1","Protein kinase superfamily, TKL Ser/Thr protein kinase","Cell membrane, Secreted, Membrane raft, Membrane, Cell surface, Cell junction, Tight junction","Membrane, Secreted, Disulfide bond, Kinase, Transmembrane, Differentiation, ATP-binding, Receptor, Alternative splicing, Aortic aneurysm, Transferase, Glycoprotein, Manganese, Disease variant, Growth regulation, Signal, Reference proteome, Metal-binding, Transmembrane helix, Hereditary nonpolyposis colorectal cancer, Cell membrane, Phosphoprotein, Direct protein sequencing, Apoptosis, Craniosynostosis, Serine/threonine-protein kinase, 3D-structure, Nucleotide-binding, Magnesium, Tight junction, Isopeptide bond, Cell junction, Ubl conjugation","Receptors","Act.TGFB;Kinase","","","True","CellChatDB v1"
